,Unnamed: 0,date,author,twitter_name,text,number_of_likes,number_of_retweets,cleaned_tweet,user_handles,hashtags,links,punct,tokenized_text,tokenizer_noStopw,stemmed_text,sentiment,score,polarity,subjectivity
122,122,1643806198000,"Cynthia Flynn, MD",CynthiaFlynn15,The USA is lagging behind other developed countries in vaccination.  It’s even worse for boosters.  We can’t compet… https://t.co/hsNzY1M0Wc,0,0,The USA is lagging behind other developed countries in vaccination.  It’s even worse for boosters.  We can’t compet…,[],[],[' https://t.co/hsNzY1M0Wc'],The USA is lagging behind other developed countries in vaccination  It’s even worse for boosters  We can’t compet…,"[The, USA, is, lagging, behind, other, developed, countries, in, vaccination,  , It, ’s, even, worse, for, boosters,  , We, ca, n’t, compet, …]","['USA', 'lagging', 'developed', 'countries', 'vaccination', ' ', 'worse', 'boosters', ' ', 'compet', '…']",usa lag develop countri vaccin   wors booster   compet …,negative,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.6369}",-0.20625000000000002,0.49375
123,123,1643806114000,Miranda van Tilburg,DrvanTilburg,"Share of Americans killed by #COVID 63% higher than in other large, wealthy nations. Reason? We lag in vaccination… https://t.co/atBNfephX6",1,1,"Share of Americans killed by  63% higher than in other large, wealthy nations. Reason? We lag in vaccination…",[],['#COVID'],[' https://t.co/atBNfephX6'],Share of Americans killed by  63 higher than in other large wealthy nations Reason We lag in vaccination…,"[Share, of, Americans, killed, by,  , 63, higher, than, in, other, large, wealthy, nations, Reason, We, lag, in, vaccination, …]","['Share', 'Americans', 'killed', ' ', '63', 'higher', 'large', 'wealthy', 'nations', 'Reason', 'lag', 'vaccination', '…']",share american kill   63 higher larg wealthi nation reason lag vaccin …,negative,"{'neg': 0.27, 'neu': 0.547, 'pos': 0.184, 'compound': -0.4939}",0.12785714285714284,0.46071428571428574
124,124,1643806077000,Raymond DuBois,Rndubois,How the #COVID-19 #delta variant affects the #eye https://t.co/XhuzC6kJZX,0,0,How the -19  variant affects the,[],"['#COVID', '#delta', '#eye']",[' https://t.co/XhuzC6kJZX'],How the 1  variant affects the,"[How, the, 1,  , variant, affects, the]","['1', ' ', 'variant', 'affects']",1   variant affect,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
125,125,1643806061000,Janet West,VPICSMANIA,"#GainOfFunction #Fauci #COVID Fauci's gain-of-function conspiracy and why I'll continue to hold him, his allies acc… https://t.co/brD2dEvQQC",0,0,"Fauci's gain-of-function conspiracy and why I'll continue to hold him, his allies acc…",[],"['#GainOfFunction', '#Fauci', '#COVID']",[' https://t.co/brD2dEvQQC'],Faucis gainoffunction conspiracy and why Ill continue to hold him his allies acc…,"[Faucis, gainoffunction, conspiracy, and, why, Ill, continue, to, hold, him, his, allies, acc, …]","['Faucis', 'gainoffunction', 'conspiracy', 'Ill', 'continue', 'hold', 'allies', 'acc', '…']",fauci gainoffunct conspiraci ill continu hold alli acc …,negative,"{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.5267}",0.0,0.0
126,126,1643806041000,North Florida Man,PVFloridaMan5,"""We find little to no evidence that mandated lockdowns in Europe and the United States had a noticeable effect on C… https://t.co/xiExugh98W",0,0,"""We find little to no evidence that mandated lockdowns in Europe and the United States had a noticeable effect on C…",[],[],[' https://t.co/xiExugh98W'],We find little to no evidence that mandated lockdowns in Europe and the United States had a noticeable effect on C…,"[We, find, little, to, no, evidence, that, mandated, lockdowns, in, Europe, and, the, United, States, had, a, noticeable, effect, on, C, …]","['find', 'little', 'evidence', 'mandated', 'lockdowns', 'Europe', 'United', 'States', 'noticeable', 'effect', 'C', '…']",find littl evid mandat lockdown europ unit state notic effect c …,positive,"{'neg': 0.085, 'neu': 0.792, 'pos': 0.123, 'compound': 0.2212}",-0.1875,0.5
127,127,1643805986000,"Ebony Jade Hilton, MD",EbonyJHilton_MD,"@28nokora that #COVID will out mutate itself. That it will create a version that is far less virulent, less transmi… https://t.co/goyFWZRiK6",2,0,"that  will out mutate itself. That it will create a version that is far less virulent, less transmi…",['@28nokora'],['#COVID'],[' https://t.co/goyFWZRiK6'],that  will out mutate itself That it will create a version that is far less virulent less transmi…,"[that,  , will, out, mutate, itself, That, it, will, create, a, version, that, is, far, less, virulent, less, transmi, …]","[' ', 'mutate', 'create', 'version', 'far', 'virulent', 'transmi', '…']",  mutat creat version far virul transmi …,negative,"{'neg': 0.166, 'neu': 0.731, 'pos': 0.102, 'compound': -0.3197}",-0.07777777777777777,0.37777777777777777
128,128,1643805917000,presshub_us,PresshubU,Mother of Baby on Life Support With  #COVID Urges People To Protect Themselves https://t.co/0qO5BqHC3L,0,0,Mother of Baby on Life Support With   Urges People To Protect Themselves,[],['#COVID'],[' https://t.co/0qO5BqHC3L'],Mother of Baby on Life Support With   Urges People To Protect Themselves,"[Mother, of, Baby, on, Life, Support, With,   , Urges, People, To, Protect, Themselves]","['Mother', 'Baby', 'Life', 'Support', '  ', 'Urges', 'People', 'Protect']",mother babi life support    urg peopl protect,positive,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.6486}",0.0,0.0
129,129,1643805793000,🌊🌊TheSmockingGun🌊🌊,TheSmockingGun2,"@SenTedCruz Can't believe you left off tickets to Cancun, #CancunCruz!

Don't worry though, @GregAbbott_TX has ever… https://t.co/ItvmQSiMgs",1,0,"Can't believe you left off tickets to Cancun, !

Don't worry though, _TX has ever…","['@SenTedCruz', '@GregAbbott']",['#CancunCruz'],[' https://t.co/ItvmQSiMgs'],"Cant believe you left off tickets to Cancun 

Dont worry though TX has ever…","[Ca, nt, believe, you, left, off, tickets, to, Cancun, 

, Do, nt, worry, though, TX, has, ever, …]","['nt', 'believe', 'left', 'tickets', 'Cancun', '\n\n', 'nt', 'worry', 'TX', '…']","nt believ left ticket cancun 

 nt worri tx …",positive,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4015}",0.0,0.0
130,130,1643805764000,M Sabadach,SabadachM,Rolled up to Bunnings this evening thinking wouldn't be many people there. I wastoo right. I was the only one there… https://t.co/UUaV4ANaqO,0,0,Rolled up to Bunnings this evening thinking wouldn't be many people there. I wastoo right. I was the only one there…,[],[],[' https://t.co/UUaV4ANaqO'],Rolled up to Bunnings this evening thinking wouldnt be many people there I wastoo right I was the only one there…,"[Rolled, up, to, Bunnings, this, evening, thinking, would, nt, be, many, people, there, I, wastoo, right, I, was, the, only, one, there, …]","['Rolled', 'Bunnings', 'evening', 'thinking', 'nt', 'people', 'wastoo', 'right', '…']",roll bun even think nt peopl wastoo right …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.2619047619047619,0.6785714285714285
131,131,1643805641000,Dr. Rebecca Rooney,girls_can,I wonder if the #PublicHealth message was “even mild #COVID can damage your #brain” whether @uwaterloo and other… https://t.co/UgQvwSaP3S,18,10,I wonder if the  message was “even mild  can damage your ” whether  and other…,['@uwaterloo'],"['#PublicHealth', '#COVID', '#brain']",[' https://t.co/UgQvwSaP3S'],I wonder if the  message was “even mild  can damage your ” whether  and other…,"[I, wonder, if, the,  , message, was, “, even, mild,  , can, damage, your, ”, whether,  , and, other, …]","['wonder', ' ', 'message', '“', 'mild', ' ', 'damage', '”', ' ', '…']",wonder   messag “ mild   damag ”   …,negative,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4939}",0.3333333333333333,0.5
132,132,1643805502000,Kevin Edward Proulx,kevineproulx,"""Don't drive angry!""
#COVID #GroundHogDay #BillMurray https://t.co/RF17kMAoNp",0,0,"""Don't drive angry!""",[],"['#COVID', '#GroundHogDay', '#BillMurray']",[' https://t.co/RF17kMAoNp'],Dont drive angry,"[Do, nt, drive, angry]","['nt', 'drive', 'angry']",nt drive angri,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-0.625,1.0
133,133,1643805498000,Cory Perdue,CoryPerdue2,@newsmax No @joerogan is spreading #COVID disinformation that's risking and costing america lives.,0,0,No  is spreading  disinformation that's risking and costing america lives.,"['@newsmax', '@joerogan']",['#COVID'],[],No  is spreading  disinformation thats risking and costing america lives,"[No,  , is, spreading,  , disinformation, that, s, risking, and, costing, america, lives]","[' ', 'spreading', ' ', 'disinformation', 's', 'risking', 'costing', 'america', 'lives']",  spread   disinform s risk cost america live,negative,"{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.5423}",0.0,0.0
134,134,1643805460000,Mary ماري 🏴‍☠️,Mary_Morris1,"Not one child in local school from 5th &amp; 6th class last week. All out with #Covid 

All wearing masks &amp; still freez… https://t.co/Y89ebCK2cf",2,0,"Not one child in local school from 5th &amp; 6th class last week. All out with  

All wearing masks &amp; still freez…",[],['#Covid'],[' https://t.co/Y89ebCK2cf'],"Not one child in local school from 5th amp 6th class last week All out with  

All wearing masks amp still freez…","[Not, one, child, in, local, school, from, 5th, amp, 6th, class, last, week, All, out, with,  

, All, wearing, masks, amp, still, freez, …]","['child', 'local', 'school', '5th', 'amp', '6th', 'class', 'week', ' \n\n', 'wearing', 'masks', 'amp', 'freez', '…']","child local school 5th amp 6th class week  

 wear mask amp freez …",neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.03333333333333333
135,135,1643805456000,KnowledgePower,Knowled79420294,"#Denmark scraps ""most"" #COVID #restrictions 

https://t.co/8ZJIZ9LsTi via @cp24",0,0,"scraps ""most""   

https://t.co/8ZJIZ9LsTi via",['@cp24'],"['#Denmark', '#COVID', '#restrictions']",[],"scraps most   

httpstco8ZJIZLsTi via","[scraps, most,   

, httpstco8ZJIZLsTi, via]","['scraps', '  \n\n', 'httpstco8ZJIZLsTi']","scrap   

 httpstco8zjizlsti",neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.5,0.5
136,136,1643805362000,Mental Health Research Canada,MHRCanada,"Don't forget to join our free webinar on how #COVID-19 and #Omicron impact #Canadians' #mental #health. Today, Wedn… https://t.co/tvSHk3J3c1",1,0,"Don't forget to join our free webinar on how -19 and  impact '  . Today, Wedn…",[],"['#COVID', '#Omicron', '#Canadians', '#mental', '#health']",[' https://t.co/tvSHk3J3c1'],Dont forget to join our free webinar on how 1 and  impact    Today Wedn…,"[Do, nt, forget, to, join, our, free, webinar, on, how, 1, and,  , impact,    , Today, Wedn, …]","['nt', 'forget', 'join', 'free', 'webinar', '1', ' ', 'impact', '   ', 'Today', 'Wedn', '…']",nt forget join free webinar 1   impact     today wedn …,positive,"{'neg': 0.106, 'neu': 0.616, 'pos': 0.278, 'compound': 0.4728}",0.4,0.8
137,137,1643805305000,Alfred Brock,Alfred_Brock,Being purposefully infected with Covid' considered safe? Human experimentation in England? What are these kids gett… https://t.co/gwZeJOb8WB,0,0,Being purposefully infected with Covid' considered safe? Human experimentation in England? What are these kids gett…,[],[],[' https://t.co/gwZeJOb8WB'],Being purposefully infected with Covid considered safe Human experimentation in England What are these kids gett…,"[Being, purposefully, infected, with, Covid, considered, safe, Human, experimentation, in, England, What, are, these, kids, gett, …]","['purposefully', 'infected', 'Covid', 'considered', 'safe', 'Human', 'experimentation', 'England', 'kids', 'gett', '…']",purpos infect covid consid safe human experiment england kid gett …,negative,"{'neg': 0.174, 'neu': 0.684, 'pos': 0.142, 'compound': -0.168}",0.25,0.3
138,138,1643805288000,A͎d͎a͎m͎ ͎R͎o͎s͎s͎i͎ 🍻,rossiadam,"The damage we are doing to our kids’ mental health with #covid mitigation measures is well documented, but some wou… https://t.co/5DjKkNJO9N",1,0,"The damage we are doing to our kids’ mental health with  mitigation measures is well documented, but some wou…",[],['#covid'],[' https://t.co/5DjKkNJO9N'],The damage we are doing to our kids’ mental health with  mitigation measures is well documented but some wou…,"[The, damage, we, are, doing, to, our, kids, ’, mental, health, with,  , mitigation, measures, is, well, documented, but, some, wou, …]","['damage', 'kids', '’', 'mental', 'health', ' ', 'mitigation', 'measures', 'documented', 'wou', '…']",damag kid ’ mental health   mitig measur document wou …,negative,"{'neg': 0.102, 'neu': 0.823, 'pos': 0.075, 'compound': -0.1406}",-0.1,0.2
139,139,1643805268000,Any Poll,AnyPollApp,How The Federal Government Used Evangelical Leaders To Spread Covid Propaganda To Churches...… https://t.co/OMpAEHlWJV,0,0,How The Federal Government Used Evangelical Leaders To Spread Covid Propaganda To Churches...…,[],[],[' https://t.co/OMpAEHlWJV'],How The Federal Government Used Evangelical Leaders To Spread Covid Propaganda To Churches…,"[How, The, Federal, Government, Used, Evangelical, Leaders, To, Spread, Covid, Propaganda, To, Churches, …]","['Federal', 'Government', 'Evangelical', 'Leaders', 'Spread', 'Covid', 'Propaganda', 'Churches', '…']",feder govern evangel leader spread covid propaganda church …,negative,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.25}",-0.1,0.1
140,140,1643804911000,Jennifer Maggs 🇨🇦,jennifermaggs,Aerosol sampling of exhaled breath from all people in an air space is like pooled PCR testing for #covid. With high… https://t.co/iSaGyW9mBq,0,1,Aerosol sampling of exhaled breath from all people in an air space is like pooled PCR testing for . With high…,[],['#covid'],[' https://t.co/iSaGyW9mBq'],Aerosol sampling of exhaled breath from all people in an air space is like pooled PCR testing for  With high…,"[Aerosol, sampling, of, exhaled, breath, from, all, people, in, an, air, space, is, like, pooled, PCR, testing, for,  , With, high, …]","['Aerosol', 'sampling', 'exhaled', 'breath', 'people', 'air', 'space', 'like', 'pooled', 'PCR', 'testing', ' ', 'high', '…']",aerosol sampl exhal breath peopl air space like pool pcr test   high …,positive,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}",0.0,0.0
141,141,1643804897000,Bridget Hunnicutt,bhunni,This is what we need in #schools: automated systems to detect #COVID in the air.  Hoping our public health and poli… https://t.co/w6BKOeCNjY,0,0,This is what we need in : automated systems to detect  in the air.  Hoping our public health and poli…,[],"['#schools', '#COVID']",[' https://t.co/w6BKOeCNjY'],This is what we need in  automated systems to detect  in the air  Hoping our public health and poli…,"[This, is, what, we, need, in,  , automated, systems, to, detect,  , in, the, air,  , Hoping, our, public, health, and, poli, …]","['need', ' ', 'automated', 'systems', 'detect', ' ', 'air', ' ', 'Hoping', 'public', 'health', 'poli', '…']",need   autom system detect   air   hope public health poli …,positive,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.4215}",0.0,0.06666666666666667
142,142,1643804830000,Kathy Groob,kathygroob,US has far higher COVID death rates than other wealthy countries. #covid #vaccine #GetVaccinatedNow,0,0,US has far higher COVID death rates than other wealthy countries.,[],"['#covid', '#vaccine', '#GetVaccinatedNow']",[],US has far higher COVID death rates than other wealthy countries,"[US, has, far, higher, COVID, death, rates, than, other, wealthy, countries]","['far', 'higher', 'COVID', 'death', 'rates', 'wealthy', 'countries']",far higher covid death rate wealthi countri,negative,"{'neg': 0.253, 'neu': 0.584, 'pos': 0.162, 'compound': -0.34}",0.18125,0.71875
143,143,1643804783000,🦄♿🏳️‍🌈NotEvery1LikesMe🏴󠁧󠁢󠁳󠁣󠁴󠁿🦄,Just1aThemDayz,"I see the front bench of the @CONServatives with 5 masks
I see @theSNP wearing masks
Along with @UKLabour &amp;… https://t.co/5b2FZmEEVK",30,10,"I see the front bench of the  with 5 masks
I see  wearing masks
Along with  &amp;…","['@CONServatives', '@theSNP', '@UKLabour']",[],[' https://t.co/5b2FZmEEVK'],"I see the front bench of the  with 5 masks
I see  wearing masks
Along with  amp…","[I, see, the, front, bench, of, the,  , with, 5, masks, 
, I, see,  , wearing, masks, 
, Along, with,  , amp, …]","['bench', ' ', '5', 'masks', '\n', ' ', 'wearing', 'masks', '\n', ' ', 'amp', '…']","bench   5 mask 
   wear mask 
   amp …",neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
144,144,1643804748000,Angela,fastgirl600rr,Thank goodness! #COVID https://t.co/SqritEzlMe,0,0,Thank goodness!,[],['#COVID'],[' https://t.co/SqritEzlMe'],Thank goodness,"[Thank, goodness]","['Thank', 'goodness']",thank good,positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6996}",0.0,0.0
145,145,1643804710000,Liz Schrayer,LizSchrayer,"It’s #GroundhogDay - woke up and #COVID still raging in developing world. 🤔 maybe by next year, we will make key in… https://t.co/0fqkkDOT0t",0,0,"It’s  - woke up and  still raging in developing world. 🤔 maybe by next year, we will make key in…",[],"['#GroundhogDay', '#COVID']",[' https://t.co/0fqkkDOT0t'],It’s   woke up and  still raging in developing world 🤔 maybe by next year we will make key in…,"[It, ’s,   , woke, up, and,  , still, raging, in, developing, world, 🤔, maybe, by, next, year, we, will, make, key, in, …]","['  ', 'woke', ' ', 'raging', 'developing', 'world', '🤔', 'maybe', 'year', 'key', '…']",   woke   rage develop world 🤔 mayb year key …,negative,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.5267}",0.0,0.5
146,146,1643804682000,CURE ID,id_cure,U.S. Has Far Higher #Covid Death Rate Than Other Wealthy Countries. Interesting to compare statistics of wealthy co… https://t.co/T6NPKDt3bC,1,0,U.S. Has Far Higher  Death Rate Than Other Wealthy Countries. Interesting to compare statistics of wealthy co…,[],['#Covid'],[' https://t.co/T6NPKDt3bC'],US Has Far Higher  Death Rate Than Other Wealthy Countries Interesting to compare statistics of wealthy co…,"[US, Has, Far, Higher,  , Death, Rate, Than, Other, Wealthy, Countries, Interesting, to, compare, statistics, of, wealthy, co, …]","['Far', 'Higher', ' ', 'Death', 'Rate', 'Wealthy', 'Countries', 'Interesting', 'compare', 'statistics', 'wealthy', 'co', '…']",far higher   death rate wealthi countri interest compar statist wealthi co …,positive,"{'neg': 0.159, 'neu': 0.528, 'pos': 0.313, 'compound': 0.4215}",0.28750000000000003,0.7291666666666666
147,147,1643804550000,dstar,dancingstrheart,A friend of mine just went thru #COVID &amp; now can’t taste peanut butter. She checked CDC &amp; they said that was a COVI… https://t.co/f004O0kp9L,1,0,A friend of mine just went thru  &amp; now can’t taste peanut butter. She checked CDC &amp; they said that was a COVI…,[],['#COVID'],[' https://t.co/f004O0kp9L'],A friend of mine just went thru  amp now can’t taste peanut butter She checked CDC amp they said that was a COVI…,"[A, friend, of, mine, just, went, thru,  , amp, now, ca, n’t, taste, peanut, butter, She, checked, CDC, amp, they, said, that, was, a, COVI, …]","['friend', 'went', ' ', 'amp', 'taste', 'peanut', 'butter', 'checked', 'CDC', 'amp', 'said', 'COVI', '…']",friend went   amp tast peanut butter check cdc amp said covi …,positive,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.4939}",0.0,0.0
148,148,1643804302000,Paul RunningHorse Vigil,HouseBuyerQuest,#Covid Suffering With COVID Post Traumatic Stress Disorder? Fundraising Campaign. Partner and Fundraise Donate by C… https://t.co/9z5XevIaFI,0,0,Suffering With COVID Post Traumatic Stress Disorder? Fundraising Campaign. Partner and Fundraise Donate by C…,[],['#Covid'],[' https://t.co/9z5XevIaFI'],Suffering With COVID Post Traumatic Stress Disorder Fundraising Campaign Partner and Fundraise Donate by C…,"[Suffering, With, COVID, Post, Traumatic, Stress, Disorder, Fundraising, Campaign, Partner, and, Fundraise, Donate, by, C, …]","['Suffering', 'COVID', 'Post', 'Traumatic', 'Stress', 'Disorder', 'Fundraising', 'Campaign', 'Partner', 'Fundraise', 'Donate', 'C', '…']",suffer covid post traumat stress disord fundrais campaign partner fundrais donat c …,negative,"{'neg': 0.528, 'neu': 0.472, 'pos': 0.0, 'compound': -0.9062}",0.0,0.0
149,149,1643804291000,Idan Harat,HaratIdan,"For those of you engaged in professional sports: what is your post-Covid return to play medical protocol, if any?… https://t.co/Yk1L42z9vg",0,0,"For those of you engaged in professional sports: what is your post-Covid return to play medical protocol, if any?…",[],[],[' https://t.co/Yk1L42z9vg'],For those of you engaged in professional sports what is your postCovid return to play medical protocol if any…,"[For, those, of, you, engaged, in, professional, sports, what, is, your, postCovid, return, to, play, medical, protocol, if, any, …]","['engaged', 'professional', 'sports', 'postCovid', 'return', 'play', 'medical', 'protocol', '…']",engag profession sport postcovid return play medic protocol …,positive,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6249}",0.05,0.05
150,150,1643804110000,Medanthro,medanthro,"10 weeks ago #OmicronVariant arose, spread like wildfire peaked and now the deaths are mounting. WHO tracking 4 new… https://t.co/l3XcejMicZ",1,0,"10 weeks ago  arose, spread like wildfire peaked and now the deaths are mounting. WHO tracking 4 new…",[],['#OmicronVariant'],[' https://t.co/l3XcejMicZ'],1 weeks ago  arose spread like wildfire peaked and now the deaths are mounting WHO tracking 4 new…,"[1, weeks, ago,  , arose, spread, like, wildfire, peaked, and, now, the, deaths, are, mounting, WHO, tracking, 4, new, …]","['1', 'weeks', 'ago', ' ', 'arose', 'spread', 'like', 'wildfire', 'peaked', 'deaths', 'mounting', 'tracking', '4', 'new', '…']",1 week ago   aros spread like wildfir peak death mount track 4 new …,positive,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}",0.0,0.0
151,151,1643803995000,Grant.does.stuff,ReidGT,Misinformation is a made up word used by those who want to suppress your ability to think critically.… https://t.co/catLNF9ik2,0,0,Misinformation is a made up word used by those who want to suppress your ability to think critically.…,[],[],[' https://t.co/catLNF9ik2'],Misinformation is a made up word used by those who want to suppress your ability to think critically…,"[Misinformation, is, a, made, up, word, used, by, those, who, want, to, suppress, your, ability, to, think, critically, …]","['Misinformation', 'word', 'want', 'suppress', 'ability', 'think', 'critically', '…']",misinform word want suppress abil think critic …,positive,"{'neg': 0.116, 'neu': 0.704, 'pos': 0.181, 'compound': 0.0772}",0.0,0.0
152,152,1643803988000,𝐒𝐮𝐦𝐨𝐧 𝐂𝐡𝐚𝐤𝐫𝐚𝐛𝐚𝐫𝐭𝐢,TorontoIDDoc,This pandemic will not end with a bang. The virus will circulate with us. The ending will be a sociopolitical one w… https://t.co/YVl654aarV,422,60,This pandemic will not end with a bang. The virus will circulate with us. The ending will be a sociopolitical one w…,[],[],[' https://t.co/YVl654aarV'],This pandemic will not end with a bang The virus will circulate with us The ending will be a sociopolitical one w…,"[This, pandemic, will, not, end, with, a, bang, The, virus, will, circulate, with, us, The, ending, will, be, a, sociopolitical, one, w, …]","['pandemic', 'end', 'bang', 'virus', 'circulate', 'ending', 'sociopolitical', 'w', '…']",pandem end bang viru circul end sociopolit w …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
153,153,1643803955000,Chuck Dickens,DickensCLD,"Interesting @JohnsHopkins  study results on #COVID lock downs.

https://t.co/jGqleaYti2",0,0,"Interesting   study results on  lock downs.

https://t.co/jGqleaYti2",['@JohnsHopkins'],['#COVID'],[],"Interesting   study results on  lock downs

httpstcojGqleaYti2","[Interesting,   , study, results, on,  , lock, downs, 

, httpstcojGqleaYti2]","['Interesting', '  ', 'study', 'results', ' ', 'lock', 'downs', '\n\n', 'httpstcojGqleaYti2']","interest    studi result   lock down 

 httpstcojgqleayti2",positive,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}",0.5,0.5
154,154,1643803577000,Sheletta Brundidge,ShelettaIsFunny,"They say a picture is worth a thousand words, well during this moment, I cried a thousand tears. When I gave gift b… https://t.co/XnJnq3x9uW",9,0,"They say a picture is worth a thousand words, well during this moment, I cried a thousand tears. When I gave gift b…",[],[],[' https://t.co/XnJnq3x9uW'],They say a picture is worth a thousand words well during this moment I cried a thousand tears When I gave gift b…,"[They, say, a, picture, is, worth, a, thousand, words, well, during, this, moment, I, cried, a, thousand, tears, When, I, gave, gift, b, …]","['picture', 'worth', 'thousand', 'words', 'moment', 'cried', 'thousand', 'tears', 'gave', 'gift', 'b', '…']",pictur worth thousand word moment cri thousand tear gave gift b …,positive,"{'neg': 0.184, 'neu': 0.533, 'pos': 0.283, 'compound': 0.34}",0.3,0.1
155,155,1643803496000,🌙 Ellie 🐈‍⬛ (she/her),thewickedsass,"Went to get my haircut, run in @MichaelsStores, &amp; drive-thru @Wendys. I had to ask my stylist to wear a mask. The c… https://t.co/gX8w12Medy",1,0,"Went to get my haircut, run in , &amp; drive-thru . I had to ask my stylist to wear a mask. The c…","['@MichaelsStores', '@Wendys']",[],[' https://t.co/gX8w12Medy'],Went to get my haircut run in  amp drivethru  I had to ask my stylist to wear a mask The c…,"[Went, to, get, my, haircut, run, in,  , amp, drivethru,  , I, had, to, ask, my, stylist, to, wear, a, mask, The, c, …]","['Went', 'haircut', 'run', ' ', 'amp', 'drivethru', ' ', 'ask', 'stylist', 'wear', 'mask', 'c', '…']",went haircut run   amp drivethru   ask stylist wear mask c …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
156,156,1643803232000,University of Maryland Medical System,umms,"Our expert, Shyam Kottilil, Ph.D., discussed the new #COVID19 treatments in clearing the way to return to everyday… https://t.co/R9tgF5ymL4",1,0,"Our expert, Shyam Kottilil, Ph.D., discussed the new  treatments in clearing the way to return to everyday…",[],['#COVID19'],[' https://t.co/R9tgF5ymL4'],Our expert Shyam Kottilil PhD discussed the new  treatments in clearing the way to return to everyday…,"[Our, expert, Shyam, Kottilil, PhD, discussed, the, new,  , treatments, in, clearing, the, way, to, return, to, everyday, …]","['expert', 'Shyam', 'Kottilil', 'PhD', 'discussed', 'new', ' ', 'treatments', 'clearing', 'way', 'return', 'everyday', '…']",expert shyam kottilil phd discuss new   treatment clear way return everyday …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.13636363636363635,0.45454545454545453
157,157,1643803203000,Microbes.info,MicrobesInfo,"Alarm sounds as #COVID-19 #coronavirus incidences of past 10 weeks exceed those in all of 2020 ... 

| #COVID19 |… https://t.co/9hvpKFBHZb",0,0,"Alarm sounds as -19  incidences of past 10 weeks exceed those in all of 2020 ... 

|  |…",[],"['#COVID', '#coronavirus', '#COVID19']",[' https://t.co/9hvpKFBHZb'],"Alarm sounds as 1  incidences of past 1 weeks exceed those in all of 22  

  …","[Alarm, sounds, as, 1,  , incidences, of, past, 1, weeks, exceed, those, in, all, of, 22,  

  , …]","['Alarm', 'sounds', '1', ' ', 'incidences', 'past', '1', 'weeks', 'exceed', '22', ' \n\n  ', '…']","alarm sound 1   incid past 1 week exceed 22  

   …",negative,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.34}",-0.25,0.25
158,158,1643803066000,Grant Rivers 🏳️‍🌈,SnowAndBeach,"@talktomarc Here👇
#Spain #COVID https://t.co/hF84WC2L3t",0,0,Here👇,['@talktomarc'],"['#Spain', '#COVID']",[' https://t.co/hF84WC2L3t'],Here👇,"[Here, 👇]",['👇'],👇,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
159,159,1643802969000,Richards,ReedRichards04,"""Follow the science.""
#Covid_19 #COVID https://t.co/tMfkCTdha0",1,0,"""Follow the science.""
_19",[],"['#Covid', '#COVID']",[' https://t.co/tMfkCTdha0'],"Follow the science
1","[Follow, the, science, 
, 1]","['Follow', 'science', '\n', '1']","follow scienc 
 1",neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
